# Exported from gene cards searching for "growth factor" in "summary" on 2022-01-14
Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"DOK5","Docking Protein 5","Protein Coding","38","GC20P054476","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK5"
"KLB","Klotho Beta","Protein Coding","38","GC04P039408","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLB"
"GORASP2","Golgi Reassembly Stacking Protein 2","Protein Coding","38","GC02P170928","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GORASP2"
"EPS8L2","EPS8 Like 2","Protein Coding","38","GC11P000694","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS8L2"
"LMTK2","Lemur Tyrosine Kinase 2","Protein Coding","38","GC07P098106","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMTK2"
"RAB11FIP1","RAB11 Family Interacting Protein 1","Protein Coding","38","GC08M037858","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB11FIP1"
"ZFYVE16","Zinc Finger FYVE-Type Containing 16","Protein Coding","38","GC05P080407","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFYVE16"
"UBASH3A","Ubiquitin Associated And SH3 Domain Containing A","Protein Coding","38","GC21P042403","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBASH3A"
"STAB2","Stabilin 2","Protein Coding","38","GC12P103587","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAB2"
"STAB1","Stabilin 1","Protein Coding","38","GC03P052495","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAB1"
"TUFT1","Tuftelin 1","Protein Coding","38","GC01P151513","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUFT1"
"REPS1","RALBP1 Associated Eps Domain Containing 1","Protein Coding","38","GC06M138903","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REPS1"
"NRXN2","Neurexin 2","Protein Coding","38","GC11M079951","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN2"
"NPTN","Neuroplastin","Protein Coding","38","GC15M073560","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTN"
"SRPX2","Sushi Repeat Containing Protein X-Linked 2","Protein Coding","38","GC0XP100648","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPX2"
"CCDC50","Coiled-Coil Domain Containing 50","Protein Coding","37","GC03P191329","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC50"
"CSF3","Colony Stimulating Factor 3","Protein Coding","37","GC17P040015","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"FIP1L1","Factor Interacting With PAPOLA And CPSF1","Protein Coding","37","GC04P053410","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIP1L1"
"HAP1","Huntingtin Associated Protein 1","Protein Coding","37","GC17M041717","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAP1"
"CIAPIN1","Cytokine Induced Apoptosis Inhibitor 1","Protein Coding","37","GC16M057428","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIAPIN1"
"NTN4","Netrin 4","Protein Coding","37","GC12M095657","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTN4"
"MAB21L2","Mab-21 Like 2","Protein Coding","37","GC04P150581","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAB21L2"
"MANF","Mesencephalic Astrocyte Derived Neurotrophic Factor","Protein Coding","37","GC03P051385","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANF"
"LRG1","Leucine Rich Alpha-2-Glycoprotein 1","Protein Coding","37","GC19M004553","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRG1"
"NELL1","Neural EGFL Like 1","Protein Coding","37","GC11P020669","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELL1"
"NELL2","Neural EGFL Like 2","Protein Coding","37","GC12M044509","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELL2"
"SNIP1","Smad Nuclear Interacting Protein 1","Protein Coding","37","GC01M037534","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNIP1"
"RNF130","Ring Finger Protein 130","Protein Coding","37","GC05M179911","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF130"
"RABEP1","Rabaptin, RAB GTPase Binding Effector Protein 1","Protein Coding","37","GC17P005282","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABEP1"
"RHOJ","Ras Homolog Family Member J","Protein Coding","37","GC14P063204","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOJ"
"SNX2","Sorting Nexin 2","Protein Coding","37","GC05P122774","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX2"
"CMTM7","CKLF Like MARVEL Transmembrane Domain Containing 7","Protein Coding","36","GC03P032409","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMTM7"
"CXCL3","C-X-C Motif Chemokine Ligand 3","Protein Coding","36","GC04M074036","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL3"
"BAG4","BAG Cochaperone 4","Protein Coding","36","GC08P038176","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG4"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","36","GC06M131948","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"CSPG5","Chondroitin Sulfate Proteoglycan 5","Protein Coding","36","GC03M047562","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSPG5"
"BMP10","Bone Morphogenetic Protein 10","Protein Coding","36","GC02M068865","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP10"
"DAZAP2","DAZ Associated Protein 2","Protein Coding","36","GC12P051238","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAZAP2"
"GKN1","Gastrokine 1","Protein Coding","36","GC02P068974","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GKN1"
"EGFL6","EGF Like Domain Multiple 6","Protein Coding","36","GC0XP013569","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFL6"
"DYNLRB1","Dynein Light Chain Roadblock-Type 1","Protein Coding","36","GC20P034579","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLRB1"
"POFUT2","Protein O-Fucosyltransferase 2","Protein Coding","36","GC21M045263","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POFUT2"
"NUDT6","Nudix Hydrolase 6","Protein Coding","36","GC04M122888","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT6"
"LRIT3","Leucine Rich Repeat, Ig-Like And Transmembrane Domains 3","Protein Coding","36","GC04P109848","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIT3"
"MIA","MIA SH3 Domain Containing","Protein Coding","36","GC19P040771","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIA"
"NENF","Neudesin Neurotrophic Factor","Protein Coding","36","GC01P212432","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NENF"
"PRR5","Proline Rich 5","Protein Coding","36","GC22P044668","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRR5"
"TCF20","Transcription Factor 20","Protein Coding","36","GC22M042160","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF20"
"RNF111","Ring Finger Protein 111","Protein Coding","36","GC15P058866","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF111"
"RNF20","Ring Finger Protein 20","Protein Coding","36","GC09P101533","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF20"
"RSU1","Ras Suppressor Protein 1","Protein Coding","36","GC10M016672","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSU1"
"OGFR","Opioid Growth Factor Receptor","Protein Coding","36","GC20P062804","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGFR"
"RHBDF1","Rhomboid 5 Homolog 1","Protein Coding","36","GC16M000058","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDF1"
"CHRDL2","Chordin Like 2","Protein Coding","35","GC11M074696","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRDL2"
"CMTM8","CKLF Like MARVEL Transmembrane Domain Containing 8","Protein Coding","35","GC03P032238","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMTM8"
"CFC1","Cripto, FRL-1, Cryptic Family 1","Protein Coding","35","GC02M130592","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFC1"
"ANGPTL2","Angiopoietin Like 2","Protein Coding","35","GC09M127087","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL2"
"FAT2","FAT Atypical Cadherin 2","Protein Coding","35","GC05M151504","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT2"
"IGFBPL1","Insulin Like Growth Factor Binding Protein Like 1","Protein Coding","35","GC09M039426","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBPL1"
"EOGT","EGF Domain Specific O-Linked N-Acetylglucosamine Transferase","Protein Coding","35","GC03M068975","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EOGT"
"CNTRL","Centriolin","Protein Coding","35","GC09P121074","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTRL"
"INHBE","Inhibin Subunit Beta E","Protein Coding","35","GC12P057452","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBE"
"PCSK4","Proprotein Convertase Subtilisin/Kexin Type 4","Protein Coding","35","GC19M001481","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK4"
"OSGIN1","Oxidative Stress Induced Growth Inhibitor 1","Protein Coding","35","GC16P083934","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSGIN1"
"INHBC","Inhibin Subunit Beta C","Protein Coding","35","GC12P057434","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBC"
"TXLNA","Taxilin Alpha","Protein Coding","35","GC01P032179","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXLNA"
"SEC61B","SEC61 Translocon Subunit Beta","Protein Coding","35","GC09P099222","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC61B"
"RNF126","Ring Finger Protein 126","Protein Coding","35","GC19M000647","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF126"
"SNX13","Sorting Nexin 13","Protein Coding","35","GC07M017798","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX13"
"SCUBE1","Signal Peptide, CUB Domain And EGF Like Domain Containing 1","Protein Coding","35","GC22M043197","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCUBE1"
"ADAM32","ADAM Metallopeptidase Domain 32","Protein Coding","34","GC08P039084","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM32"
"GXYLT2","Glucoside Xylosyltransferase 2","Protein Coding","34","GC03P072888","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GXYLT2"
"EYS","Eyes Shut Homolog","Protein Coding","34","GC06M063719","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EYS"
"FETUB","Fetuin B","Protein Coding","34","GC03P186635","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FETUB"
"DUSP8","Dual Specificity Phosphatase 8","Protein Coding","34","GC11M002087","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP8"
"CNTNAP4","Contactin Associated Protein Family Member 4","Protein Coding","34","GC16P076278","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP4"
"GAB3","GRB2 Associated Binding Protein 3","Protein Coding","34","GC0XM154675","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAB3"
"MIIP","Migration And Invasion Inhibitory Protein","Protein Coding","34","GC01P012019","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIIP"
"PLPP3","Phospholipid Phosphatase 3","Protein Coding","34","GC01M056495","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLPP3"
"PPP1R16B","Protein Phosphatase 1 Regulatory Subunit 16B","Protein Coding","34","GC20P038805","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R16B"
"PTTG1IP","PTTG1 Interacting Protein","Protein Coding","34","GC21M044849","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTTG1IP"
"WIPF2","WAS/WASL Interacting Protein Family Member 2","Protein Coding","34","GC17P040219","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIPF2"
"PHLDA1","Pleckstrin Homology Like Domain Family A Member 1","Protein Coding","34","GC12M076025","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLDA1"
"RHBDL1","Rhomboid Like 1","Protein Coding","34","GC16P007970","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDL1"
"VASN","Vasorin","Protein Coding","34","GC16P008218","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASN"
"GXYLT1","Glucoside Xylosyltransferase 1","Protein Coding","33","GC12M042081","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GXYLT1"
"KLHDC8A","Kelch Domain Containing 8A","Protein Coding","33","GC01M205305","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHDC8A"
"PDCL3","Phosducin Like 3","Protein Coding","33","GC02P100562","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCL3"
"PRDM4","PR/SET Domain 4","Protein Coding","33","GC12M107732","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM4"
"SNX25","Sorting Nexin 25","Protein Coding","33","GC04P185210","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX25"
"ADGRE3","Adhesion G Protein-Coupled Receptor E3","Protein Coding","32","GC19M014619","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRE3"
"LACRT","Lacritin","Protein Coding","32","GC12M054673","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LACRT"
"CNTNAP5","Contactin Associated Protein Family Member 5","Protein Coding","32","GC02P124025","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP5"
"CDNF","Cerebral Dopamine Neurotrophic Factor","Protein Coding","32","GC10M014771","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDNF"
"KLF14","Kruppel Like Factor 14","Protein Coding","32","GC07M130731","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF14"
"EXOC3L2","Exocyst Complex Component 3 Like 2","Protein Coding","32","GC19M045212","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC3L2"
"MMRN2","Multimerin 2","Protein Coding","32","GC10M086935","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMRN2"
"ZNF124","Zinc Finger Protein 124","Protein Coding","32","GC01M247121","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF124"
"SPECC1","Sperm Antigen With Calponin Homology And Coiled-Coil Domains 1","Protein Coding","32","GC17P034081","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPECC1"
"RABEP2","Rabaptin, RAB GTPase Binding Effector Protein 2","Protein Coding","32","GC16M033233","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABEP2"
"DMXL1","Dmx Like 1","Protein Coding","31","GC05P119037","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMXL1"
"FBRS","Fibrosin","Protein Coding","31","GC16P037812","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBRS"
"INSL4","Insulin Like 4","Protein Coding","31","GC09P005231","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL4"
"SPART","Spartin","Protein Coding","31","GC13M036302","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPART"
"FGFBP3","Fibroblast Growth Factor Binding Protein 3","Protein Coding","30","GC10M091906","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFBP3"
"ZNF606","Zinc Finger Protein 606","Protein Coding","30","GC19M057977","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF606"
"CCN1","Cellular Communication Network Factor 1","Protein Coding","29","GC01P085581","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1"
"IGFL3","IGF Like Family Member 3","Protein Coding","29","GC19M057184","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFL3"
"NRDC","Nardilysin Convertase","Protein Coding","29","GC01M051790","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRDC"
"CEP43","Centrosomal Protein 43","Protein Coding","28","GC06P167001","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP43"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","27","GC11M001995","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"GAREM1","GRB2 Associated Regulator Of MAPK1 Subtype 1","Protein Coding","27","GC18M032125","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAREM1"
"IGFL2","IGF Like Family Member 2","Protein Coding","27","GC19P046078","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFL2"
"ECSCR","Endothelial Cell Surface Expressed Chemotaxis And Apoptosis Regulator","Protein Coding","27","GC05M139448","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECSCR"
"HDGFL2","HDGF Like 2","Protein Coding","27","GC19P004490","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDGFL2"
"SPINK9","Serine Peptidase Inhibitor Kazal Type 9","Protein Coding","27","GC05P148321","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK9"
"IGFL1","IGF Like Family Member 1","Protein Coding","25","GC19P046229","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFL1"
"IGF2-AS","IGF2 Antisense RNA","RNA Gene","23","GC11P002140","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2-AS"
"TDGF1P3","Teratocarcinoma-Derived Growth Factor 1 Pseudogene 3","Protein Coding","18","GC0XP110520","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDGF1P3"
"IRAIN","IGF1R Antisense Imprinted Non-Protein Coding RNA","RNA Gene","13","GC15M098645","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAIN"
"LUNAR1","Leukemia-Associated Non-Coding IGF1R Activator RNA 1","RNA Gene","11","GC15P099014","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUNAR1"
"NEPNP","Nephrocan, Pseudogene","Pseudogene","10","GC06P117602","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEPNP"
"CHP1P2","CHP1 Pseudogene 2","Pseudogene","9","GC06P160127","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHP1P2"
"PIR-FIGF","PIR-FIGF Readthrough","RNA Gene","8","GC0XM015346","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIR-FIGF"
"H19-ICR","H19/IGF2 Imprinting Control Region","Biological Region","5","GC11P002006","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19-ICR"
"RF00461","","RNA Gene","3","GC06P073099","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00461"
"RF00483","","RNA Gene","3","GC11M002386","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00483"
"LOC111365141","NOS2 5' Regulatory Region","Biological Region","2","GC17P027800","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111365141"
"LOC108021846","SOX9 Promoter Region","Biological Region","2","GC17P072120","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108021846"
"LOC109115964","FGF3 5' Regulatory Region","Biological Region","2","GC11P069817","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109115964"
"LOC110973015","NOS3 5' Regulatory Region","Biological Region","2","GC07P150988","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110973015"
"APOB-ICR","APOB Intestinal Control Region","Biological Region","1","GC02P021094","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB-ICR"
"LOC110386948","CYP19A1 Promoter I.4","Biological Region","1","GC15P051712","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110386948"
"LOC110408762","CYP17A1 Promoter","Biological Region","1","GC10P102837","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110408762"
"LOC111258525","NOS1 1f And 1g Alternate Promoter Region","Biological Region","1","GC12P117361","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111258525"
"LOC111832670","Alpha Fetoprotein (AFP) 5' Regulatory Region","Biological Region","1","GC04P073430","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111832670"
"LOC110596866","CYP7A1 5' Regulatory Region","Biological Region","1","GC08P058498","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110596866"
"LOC108942766","NANOG 5' Regulatory Region","Biological Region","1","GC12P016952","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108942766"
"LOC109113863","FGF2 Promoter Region","Biological Region","1","GC04P122890","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109113863"
"LOC109117330","FGF4 Promoter Region","Biological Region","1","GC11P069778","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109117330"
"LOC109117331","FGF4 3' Enhancer","Biological Region","1","GC11P069771","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109117331"
"LOC109136576","FGF8 5' Regulatory Region","Biological Region","1","GC10P101776","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109136576"
"LOC109245078","FGF19 5' Regulatory Region","Biological Region","1","GC11P069705","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109245078"
"LOC109245079","FGF19 Upstream Enhancer","Biological Region","1","GC11P069720","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109245079"
"LOC109279247","FGF21/FUT1 Promoter Region","Biological Region","1","GC19P048817","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109279247"
"LOC109279841","FGFR4 5' Regulatory Region","Biological Region","1","GC05P177088","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109279841"
"LOC109286556","TBX3 Promoter Region","Biological Region","1","GC12P114725","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109286556"
"LOC109286563","TBX21 Promoter Region","Biological Region","1","GC17P047731","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109286563"
"LOC111365185","GATA Motif-Containing MPRA Enhancer 41","Biological Region","1","GC09P133003","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111365185"
"LOC116183094","CRISPRi-Validated Cis-Regulatory Element Chr7.3530","Biological Region","1","GC07P100680","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116183094"
"LOC116216102","CRISPRi-Validated Cis-Regulatory Element Chr9.3630","Biological Region","1","GC09P132998","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116216102"
"LOC117600004","CTSL Promoter Region","Biological Region","1","GC09P087724","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117600004"
"LOC121132685","Sharpr-MPRA Regulatory Region 8365","Biological Region","1","GC06P071583","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC121132685"
"LOC116216097","CRISPRi-Validated Cis-Regulatory Element Chr9.1735","Biological Region","1","GC09P099075","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116216097"
"LOC116276461","CRISPRi-Validated Cis-Regulatory Element Chr17.2443","Biological Region","1","GC17P040536","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116276461"
"LOC116158483","CRISPRi-Validated Cis-Regulatory Element Chr4.260","Biological Region","1","GC04P001784","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116158483"
"LOC116158507","CRISPRi-Validated Cis-Regulatory Element Chr4.2649","Biological Region","1","GC04P122749","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC116158507"
"LOC105274310","H19/IGF2 Enhancer Region","Biological Region","1","GC11P001986","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC105274310"
"FGF10-INT1","FGF10 Intronic Enhancer","Biological Region","1","GC05P044385","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF10-INT1"
"LOC109113859","FGF1 Promoter B","Biological Region","1","GC05P145096","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109113859"
"LOC109113860","FGF1 Promoter C","Biological Region","1","GC05P145097","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109113860"
"LOC109113862","FGF1 Promoter D","Biological Region","1","GC05P145098","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109113862"
"LOC110386947","CYP19A1 Promoter I.1","Biological Region","1","GC15P051714","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110386947"
